CATEGORY,TYPE,DETAIL,REQUEST TYPE
Ditch,Cleaning,District One,Ditch Cleaning (North of River)
Ditch,Cleaning,District Three,Ditch Cleaning (South of 27th Street)
Ditch,Cleaning,District Three,Ditch Cleaning (South of 47th Street)
Ditch,Cleaning,District Two,Ditch Cleaning (South of River to 47th Street)
Downtown Parking,Illegally Parked Vehicle,Vehicle,Vehicle Illegally Parked
Downtown Parking,Parking Meter,Broken,Parking Meter Repair
Downtown Parking,Ticket,All,Parking Ticket Complaint
Facilities,ADA Accessibility,All,ADA Accessibility
Facilities,City,*Select one,Cleaning City Property
Facilities,City,*Select one,Facilities - City Owned
Facilities,City,Building,Facilities - City Owned
Facilities,City,Grounds,Cleaning City Property
Facilities,City,Grounds,Facilities - City Owned
Facilities,City,Parking,Cleaning City Property
Facilities,City,Parking,Facilities - City Owned
Finance,All,All,Finance - All
Fire,All,All,Fire - All
Fire,Transportation,Cooling Center Transportation,Cooling Center Transportation
Food Protection,All,All,Food Establishment Complaints
Government,311 Administration,Appearance / Speaker,Government-311 Administration-Appearance / Speaker
Government,311 Administration,Document Request,Government-311 Administration-Document Request
Government,311 Administration,Feedback,Government-311 Administration-Feedback
Government,311 Administration,Field Investigation,Government-311 Administration-Field Investigation
Government,311 Administration,Lack of Information,Government-311 Administration-Lack of information
Government,311 Administration,Review,Government-311 Administration-Review
Government,ADA,Airport ADA,Government - ADA - Airport
Government,ADA,Sidewalks / Curbs,Government-ADA-Sidewalks / Curbs
Government,City Manager‘s Office,All,Government-City Manager‘s Office-All
Government,City Manager‘s Office,Compass KC Assistance,Government-City Managers Office-Compass KC
Government,Communications,Citizen Satisfaction Survey,Government-Communications-Citizen Satisfaction Survey
Government,Communications,KCMO.gov,Government-Communications-KCMO.gov
Government,Communications,KCMore,Government-Communications-KCMore
Government,Communications,News and Media,Government-Communications-News and Media
Government,Finance,Collection Notice,Government-Finance-Collection Notice
Government,Finance,Feedback,Government-Finance-Feedback
Government,Finance,Tax,Government-Finance-Tax
Government,Human Resources (HR),All,Government-Human Resources (HR)-All
Government,IT / Websites,Other Websites - Tech,Government-IT / Websites-Other Websites - Tech
Government,IT / Websites,Parks Website,Government-IT / Websites-Parks Website
Government,IT / Websites,Water Website,Government-IT / Websites-Water Website
Government,Law,Financial Loss,Government-Law-Financial Loss
Government,Law,Other Litigations,Government-Law-Other Litigations
Government,Law,Property Damage,Government-Law-Property Damage
Government,Law,Vehicle Damage,Government-Law-Vehicle Damage
Government,Mayor‘s Office,Feedback,Government-Mayor‘s Office-Feedback
Government,NHS (Neighborhood Housing Services),Assessment Dispute,Government-NHS (Neighborhood Housing Services)-Assessment Dispute
Government,NHS (Neighborhood Housing Services),Feedback,Government-NHS (Neighborhood Housing Services)-Feedback
Government,NHS (Neighborhood Housing Services),Good Neighbor Award,Government-NHS (Neighborhood Housing Services)-Good Neighbor Award
Government,NHS (Neighborhood Housing Services),Home Repair,Government-NHS (Neighborhood Housing Services)-Home Repair
Government,NHS (Neighborhood Housing Services),No Known Property Owner,Government-NHS (Neighborhood Housing Services)-No Known Property Owner
Government,NHS (Neighborhood Housing Services),Paint Program,Government-NHS (Neighborhood Housing Services)-Paint Program
Government,NHS (Neighborhood Housing Services),Weatherization Program,Government-NHS (Neighborhood Housing Services)-Weatherization Program
Government,Not Provided By KCMO,211,Government-Not Provided By KCMO-211
Government,Not Provided By KCMO,County,Government-Not Provided By KCMO-County
Government,Not Provided By KCMO,KCATA/Metro,Government - Not Provided by KCMO - KCATA/Metro
Government,Not Provided By KCMO,KCPD,Government-Not Provided By KCMO-KCPD
Government,Not Provided By KCMO,MODOT,Government-Not Provided By KCMO-MODOT
Government,Not Provided By KCMO,State,Government-Not Provided By KCMO-State
Government,Public Works,Call Back Request,Government-Public Works-Call Back Request
Government,Public Works,Feedback,Government-Public Works-Feedback
Government,Public Works,Question,Government-Public Works-Question
Government,Public Works,Service Issue / Problem,Government-Public Works-Service Issue / Problem
